crypto_id,symbol,name,price_usd,market_cap,volume_24h,price_change_24h_pct,extracted_at
bitcoin,btc,Bitcoin,104573.0,2086273916845,55957205712,2.33249,2025-11-09 21:37:35.034621
ethereum,eth,Ethereum,3584.63,432821836983,23975307297,5.37883,2025-11-09 21:37:35.034621
tether,usdt,Tether,0.999978,183462609759,73791049296,0.01315,2025-11-09 21:37:35.034621
ripple,xrp,XRP,2.34,140478760871,2691244309,2.3339,2025-11-09 21:37:35.034621
binancecoin,bnb,BNB,997.66,137427528837,1622672984,0.24831,2025-11-09 21:37:35.034621
solana,sol,Solana,165.17,91465035376,4361023082,4.58181,2025-11-09 21:37:35.034621
usd-coin,usdc,USDC,0.999799,75663919307,5502624353,-0.00026,2025-11-09 21:37:35.034621
staked-ether,steth,Lido Staked Ether,3583.17,30943974963,44101303,5.38801,2025-11-09 21:37:35.034621
tron,trx,TRON,0.291566,27602201212,394652178,0.10153,2025-11-09 21:37:35.034621
dogecoin,doge,Dogecoin,0.179851,27273244201,1456218605,2.54596,2025-11-09 21:37:35.034621
